id,front,back,tag,level,group
1.0,孜孜不倦,不知疲倦,成语,,g1
2.0,废寝忘食,非常专心勤奋,成语,,g1
3.0,薪火相传,薪火相传,成语,,g2
4.0,前赴后继,奋勇前进、连续不断,成语,,g2
5.0,纸上谈兵,不能解决实际问题,成语,,
6.0,画饼充饥,没有实际行动、仅空想，有安慰意味,成语,,
7.0,大相径庭,差别很大！,成语,,
8.0,日行千里,做事或学习效率高、速度快，让人惊叹,成语,,
9.0,荡气回肠,"形容文章、乐曲等十分动人，也能引申为事件、成就令人深深感动和震撼 
",成语,,
10.0,振聋发聩,唤醒、警示、启发,成语,,
11.0,皮里阳秋,表面上不作评论但内心有所褒贬,成语,,
12.0,买椟还珠,为盒子丢了珍珠，是「因小失大、本末倒置」的生动写照。它提醒我们做判断和选择时，要看清什么才是真正的核心价值。,成语,,
13.0,缘木求鱼,"比喻方向或方法完全错误，不可能达到目的。
强调方法、方向根本错误",成语,,
14.0,镜花水月,比喻虚幻的景象，不切实际的想法。强调想法虚幻,成语,,
15.0,抱薪救火,"比喻用错误的方法去消除灾祸，结果反而使灾祸扩大。强调后果恶化
",成语,,
16.0,传递,知识,短语,,
17.0,传播,精神,短语,,
18.0,传达,命令,短语,,
19.0,传导,电流,短语,,
20.0,传输,信息,短语,,
21.0,传承,文化,短语,,
22.0,数据,传送,短语,,
23.0,输送,物资,短语,,
24.0,探索,宇宙,短语,,
25.0,履行,责任主体,短语,,
26.0,不可逆转,历史进程、发展轨道。趋势或局面已形成,短语,,
27.0,芜杂wúzá,杂乱无章，没有条理。更侧重于因多而导致的乱，强调缺乏必要的修剪、选择和整理。它与「杂乱」意思接近，但文学性和书面语感更强一些,短语,,
28.0, 困顿,"劳累到不能支持或者终日劳碌生计或境遇，艰难窘迫，程度过重
",短语,,
29.0,_____是党的基础性建设。,[思想建设],政治,,
30.0,_____是马克思主义中国化时代化的根本途径。,[两个结合] 是马克思主义中国化时代化的根本途径。,政治,,
31.0,_____是走中国特色社会主义道路的根脉 ，_____是走中国特色社会主义道路的魂脉。,[中华优秀传统文化] 是走中国特色社会主义道路的根脉，[马克思主义] 是走中国特色社会主义道路的魂脉。,政治,,
32.0,新时代坚持和发展中特的总任务： ①_____②_____。,①[实现社会主义现代化] ②[实现中华民族伟大复兴],政治,,
33.0,中国特色社会主义最本质的特征是_____ ， 中国特色社会主义制度的最大优势是_____。,[中国共产党领导] 是中国特色社会主义最本质的特征，[中国共产党领导] 是中国特色社会主义制度的最大优势,政治,,
34.0,新时代我国社会主要矛盾是_____和_____ 的矛盾。,[人民日益增长的美好生活需要] 和 [不平衡不充分的发展之间] 的矛盾,政治,,
