card_id,result,time
4,ok,2025-12-26T03:51:22.650Z
23,ok,2025-12-26T03:51:25.567Z
22,ok,2025-12-26T03:51:29.085Z
17,ok,2025-12-26T03:51:31.646Z
13,ok,2025-12-26T03:51:33.733Z
27,ok,2025-12-26T03:51:38.637Z
9,ok,2025-12-26T03:51:53.363Z
22,ok,2025-12-26T03:51:53.949Z
5,ok,2025-12-26T03:51:55.009Z
3,ok,2025-12-26T03:51:55.915Z
27,ok,2025-12-26T03:51:56.141Z
12,ok,2025-12-26T03:51:56.342Z
15,ok,2025-12-26T03:51:56.518Z
15,ok,2025-12-26T03:51:56.691Z
20,ok,2025-12-26T03:51:56.853Z
1,ok,2025-12-26T03:51:57.017Z
16,ok,2025-12-26T03:51:57.166Z
20,ok,2025-12-26T03:51:57.334Z
19,ok,2025-12-26T03:51:57.496Z
5,ok,2025-12-26T03:51:57.629Z
19,ok,2025-12-26T03:51:57.770Z
8,ok,2025-12-26T03:51:57.899Z
2,ok,2025-12-26T03:51:58.046Z
11,ok,2025-12-26T03:51:58.199Z
4,ok,2025-12-26T03:51:58.358Z
17,ok,2025-12-26T03:51:58.518Z
24,ok,2025-12-26T03:51:59.174Z
14,ok,2025-12-26T03:51:59.375Z
23,ok,2025-12-26T03:51:59.559Z
12,ok,2025-12-26T03:51:59.742Z
23,ok,2025-12-26T03:51:59.903Z
19,ok,2025-12-26T03:52:00.066Z
28,ok,2025-12-26T03:52:00.242Z
16,ok,2025-12-26T03:52:00.424Z
17,ok,2025-12-26T03:52:00.592Z
13,ok,2025-12-26T03:52:00.770Z
9,ok,2025-12-26T03:52:00.949Z
20,ok,2025-12-26T03:52:01.126Z
24,ok,2025-12-26T03:52:01.299Z
10,ok,2025-12-26T03:52:01.474Z
16,ok,2025-12-26T03:52:01.646Z
21,ok,2025-12-26T03:52:01.821Z
5,ok,2025-12-26T03:52:02.004Z
7,ok,2025-12-26T03:52:02.184Z
23,ok,2025-12-26T03:52:02.372Z
2,ok,2025-12-26T03:52:02.541Z
15,ok,2025-12-26T03:52:02.721Z
16,ok,2025-12-26T03:52:02.896Z
3,ok,2025-12-26T03:52:03.057Z
2,ok,2025-12-26T03:52:03.225Z
28,ok,2025-12-26T03:52:03.396Z
27,ok,2025-12-26T03:52:03.567Z
23,ok,2025-12-26T03:52:03.750Z
2,ok,2025-12-26T03:52:03.921Z
18,ok,2025-12-26T03:52:04.108Z
26,ok,2025-12-26T03:52:04.283Z
4,ok,2025-12-26T03:52:04.462Z
9,ok,2025-12-26T03:52:04.650Z
16,ok,2025-12-26T03:52:04.849Z
21,ok,2025-12-26T03:52:05.517Z
27,ok,2025-12-26T03:52:05.795Z
10,ok,2025-12-26T03:52:07.449Z
6,ok,2025-12-26T03:52:08.462Z
12,ok,2025-12-26T03:52:09.104Z
27,ok,2025-12-26T03:52:09.312Z
25,ok,2025-12-26T03:52:09.687Z
2,ok,2025-12-26T03:52:10.266Z
10,ok,2025-12-26T03:52:10.716Z
9,ok,2025-12-26T03:52:11.233Z
26,ok,2025-12-26T03:52:11.613Z
